method,method_label,as_of_hour,n_components,n_defects,n_healthy,n_tester_faults,true_positives,false_positives,false_negatives,true_negatives,defect_recall,false_negative_rate,false_positive_rate,precision,recall_after_onset,n_early_warnings,median_lead_time_hours,mean_lead_time_hours,min_lead_time_hours,n_detected_after_crossing,n_detected_never_crossing,tester_fault_flag_rate,false_positive_rate_incl_tester_faults,contamination,robust_threshold,fixed_limit_fraction,random_state,fit_scope,minimum_observations
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,3.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,13,2,35,142,0.2708333333333333,0.7291666666666666,0.013888888888888888,0.8666666666666667,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.019736842105263157,0.05,3.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.05,3.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,3.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.05,3.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,3.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,13,2,35,142,0.2708333333333333,0.7291666666666666,0.013888888888888888,0.8666666666666667,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.019736842105263157,0.05,3.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.05,3.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,4.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.05,4.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,4.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,11,2,37,142,0.22916666666666666,0.7708333333333334,0.013888888888888888,0.8461538461538461,0.3235294117647059,4,120.0,120.0,108.0,4,3,0.125,0.019736842105263157,0.05,4.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.05,4.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.05,4.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.05,4.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,8,2,40,142,0.16666666666666666,0.8333333333333334,0.013888888888888888,0.8,0.23529411764705882,2,108.0,108.0,108.0,4,2,0.125,0.019736842105263157,0.05,4.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,11,2,37,142,0.22916666666666666,0.7708333333333334,0.013888888888888888,0.8461538461538461,0.3235294117647059,4,120.0,120.0,108.0,4,3,0.125,0.019736842105263157,0.05,4.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.05,4.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,2.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.1,2.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,2.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,19,3,29,141,0.3958333333333333,0.6041666666666666,0.020833333333333332,0.8636363636363636,0.5588235294117647,11,108.0,123.27272727272727,108.0,4,4,0.125,0.02631578947368421,0.1,2.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.1,2.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,2.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.1,2.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,2.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,19,3,29,141,0.3958333333333333,0.6041666666666666,0.020833333333333332,0.8636363636363636,0.5588235294117647,11,108.0,123.27272727272727,108.0,4,4,0.125,0.02631578947368421,0.1,2.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.1,2.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,3.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.1,3.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,3.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,17,3,31,141,0.3541666666666667,0.6458333333333334,0.020833333333333332,0.85,0.5,9,108.0,121.33333333333333,108.0,4,4,0.125,0.02631578947368421,0.1,3.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.1,3.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,3.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.1,3.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,3.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,17,3,31,141,0.3541666666666667,0.6458333333333334,0.020833333333333332,0.85,0.5,9,108.0,121.33333333333333,108.0,4,4,0.125,0.02631578947368421,0.1,3.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.1,3.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,4.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.1,4.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,4.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,16,3,32,141,0.3333333333333333,0.6666666666666666,0.020833333333333332,0.8421052631578947,0.47058823529411764,9,108.0,121.33333333333333,108.0,4,3,0.125,0.02631578947368421,0.1,4.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.1,4.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.1,4.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.1,4.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,14,3,34,141,0.2916666666666667,0.7083333333333334,0.020833333333333332,0.8235294117647058,0.4117647058823529,8,108.0,120.0,108.0,4,2,0.125,0.02631578947368421,0.1,4.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,16,3,32,141,0.3333333333333333,0.6666666666666666,0.020833333333333332,0.8421052631578947,0.47058823529411764,9,108.0,121.33333333333333,108.0,4,3,0.125,0.02631578947368421,0.1,4.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.1,4.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,2.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.15,2.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,2.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,19,4,29,140,0.3958333333333333,0.6041666666666666,0.027777777777777776,0.8260869565217391,0.5588235294117647,11,108.0,123.27272727272727,108.0,4,4,0.125,0.03289473684210526,0.15,2.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.15,2.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,2.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.15,2.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,2.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,19,4,29,140,0.3958333333333333,0.6041666666666666,0.027777777777777776,0.8260869565217391,0.5588235294117647,11,108.0,123.27272727272727,108.0,4,4,0.125,0.03289473684210526,0.15,2.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.15,2.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,3.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.15,3.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,3.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,18,4,30,140,0.375,0.625,0.027777777777777776,0.8181818181818182,0.5294117647058824,10,108.0,120.0,108.0,4,4,0.125,0.03289473684210526,0.15,3.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.15,3.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,3.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.15,3.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,3.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,18,4,30,140,0.375,0.625,0.027777777777777776,0.8181818181818182,0.5294117647058824,10,108.0,120.0,108.0,4,4,0.125,0.03289473684210526,0.15,3.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,21,7,27,137,0.4375,0.5625,0.04861111111111111,0.75,0.6176470588235294,13,108.0,124.61538461538461,108.0,4,4,0.125,0.05263157894736842,0.15,3.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,4.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.15,4.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,4.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,17,4,31,140,0.3541666666666667,0.6458333333333334,0.027777777777777776,0.8095238095238095,0.5,10,108.0,120.0,108.0,4,3,0.125,0.03289473684210526,0.15,4.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.15,4.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.15,4.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,10,0,38,144,0.20833333333333334,0.7916666666666666,0.0,1.0,0.29411764705882354,3,132.0,124.0,108.0,4,3,0.125,0.006578947368421052,0.15,4.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,16,4,32,140,0.3333333333333333,0.6666666666666666,0.027777777777777776,0.8,0.47058823529411764,9,108.0,118.66666666666667,108.0,4,3,0.125,0.03289473684210526,0.15,4.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,17,4,31,140,0.3541666666666667,0.6458333333333334,0.027777777777777776,0.8095238095238095,0.5,10,108.0,120.0,108.0,4,3,0.125,0.03289473684210526,0.15,4.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,18,3,30,141,0.375,0.625,0.020833333333333332,0.8571428571428571,0.5294117647058824,11,108.0,123.27272727272727,108.0,4,3,0.125,0.02631578947368421,0.15,4.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.2,2.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.2,2.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,20,13,28,131,0.4166666666666667,0.5833333333333334,0.09027777777777778,0.6060606060606061,0.5882352941176471,13,108.0,122.76923076923077,108.0,4,3,0.125,0.09210526315789473,0.2,2.5,0.8,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,21,13,27,131,0.4375,0.5625,0.09027777777777778,0.6176470588235294,0.6176470588235294,13,108.0,122.76923076923077,108.0,4,4,0.125,0.09210526315789473,0.2,2.5,0.8,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.2,2.5,0.8,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.2,2.5,1.0,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,16,2,32,142,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,0.47058823529411764,8,108.0,120.0,108.0,4,4,0.125,0.019736842105263157,0.2,2.5,1.0,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,20,13,28,131,0.4166666666666667,0.5833333333333334,0.09027777777777778,0.6060606060606061,0.5882352941176471,13,108.0,122.76923076923077,108.0,4,3,0.125,0.09210526315789473,0.2,2.5,1.0,42,per_family,2
combined,Combined robust + Isolation Forest (existing detector),12.0,200,48,144,8,21,13,27,131,0.4375,0.5625,0.09027777777777778,0.6176470588235294,0.6176470588235294,13,108.0,122.76923076923077,108.0,4,4,0.125,0.09210526315789473,0.2,2.5,1.0,42,per_family,2
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,200,48,144,8,22,9,26,135,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,0.6470588235294118,14,120.0,126.85714285714286,108.0,4,4,0.125,0.06578947368421052,0.2,2.5,1.0,42,per_family,2
fixed_limit,Fixed upper-limit screening,12.0,200,48,144,8,4,0,44,144,0.08333333333333333,0.9166666666666666,0.0,1.0,0.11764705882352941,0,,,,4,0,0.0,0.0,0.2,3.5,0.8,42,per_family,2
robust_mad,Median/MAD robust screening (repository rule),12.0,200,48,144,8,13,1,35,143,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,0.38235294117647056,5,108.0,117.6,108.0,4,4,0.125,0.013157894736842105,0.2,3.5,0.8,42,per_family,2
isolation_forest,Isolation Forest,12.0,200,48,144,8,20,13,28,131,0.4166666666666667,0.5833333333333334,0.09027777777777778,0.6060606060606061,0.5882352941176471,13,108.0,122.76923076923077,108.0,4,3,0.125,0.09210526315789473,0.2,3.5,0.8,42,per_family,2
