method,method_label,as_of_hour,n_components,n_defects,n_healthy,n_tester_faults,true_positives,false_positives,false_negatives,true_negatives,defect_recall,false_negative_rate,false_positive_rate,precision,recall_after_onset,n_early_warnings,median_lead_time_hours,mean_lead_time_hours,min_lead_time_hours,n_detected_after_crossing,n_detected_never_crossing,tester_fault_flag_rate,false_positive_rate_incl_tester_faults
robust_mad,Median/MAD robust screening (repository rule),48.0,200,48,144,8,31,0,17,144,0.6458333333333334,0.3541666666666667,0.0,1.0,0.7948717948717948,19,96.0,90.94736842105263,72.0,8,4,0.125,0.006578947368421052
isolation_forest,Isolation Forest,48.0,200,48,144,8,22,0,26,144,0.4583333333333333,0.5416666666666666,0.0,1.0,0.5641025641025641,12,84.0,90.0,72.0,8,2,0.125,0.006578947368421052
combined,Combined robust + Isolation Forest (existing detector),48.0,200,48,144,8,31,0,17,144,0.6458333333333334,0.3541666666666667,0.0,1.0,0.7948717948717948,19,96.0,90.94736842105263,72.0,8,4,0.125,0.006578947368421052
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",48.0,200,48,144,8,36,1,12,143,0.75,0.25,0.006944444444444444,0.972972972972973,0.9230769230769231,23,96.0,91.82608695652173,72.0,8,5,0.125,0.013157894736842105
fixed_limit,Fixed upper-limit screening,72.0,200,48,144,8,9,0,39,144,0.1875,0.8125,0.0,1.0,0.20930232558139536,0,,,,9,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),72.0,200,48,144,8,39,0,9,144,0.8125,0.1875,0.0,1.0,0.9069767441860465,24,72.0,66.0,24.0,11,4,0.125,0.006578947368421052
isolation_forest,Isolation Forest,72.0,200,48,144,8,24,0,24,144,0.5,0.5,0.0,1.0,0.5581395348837209,11,48.0,54.54545454545455,24.0,11,2,0.125,0.006578947368421052
combined,Combined robust + Isolation Forest (existing detector),72.0,200,48,144,8,39,0,9,144,0.8125,0.1875,0.0,1.0,0.9069767441860465,24,72.0,66.0,24.0,11,4,0.125,0.006578947368421052
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",72.0,200,48,144,8,43,1,5,143,0.8958333333333334,0.10416666666666667,0.006944444444444444,0.9772727272727273,1.0,27,72.0,67.55555555555556,24.0,11,5,0.125,0.013157894736842105
fixed_limit,Fixed upper-limit screening,96.0,200,48,144,8,9,0,39,144,0.1875,0.8125,0.0,1.0,0.1956521739130435,0,,,,9,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),96.0,200,48,144,8,43,0,5,144,0.8958333333333334,0.10416666666666667,0.0,1.0,0.9347826086956522,27,48.0,44.44444444444444,24.0,12,4,0.25,0.013157894736842105
isolation_forest,Isolation Forest,96.0,200,48,144,8,23,0,25,144,0.4791666666666667,0.5208333333333334,0.0,1.0,0.5,10,24.0,33.6,24.0,13,0,0.25,0.013157894736842105
combined,Combined robust + Isolation Forest (existing detector),96.0,200,48,144,8,44,0,4,144,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9565217391304348,27,48.0,44.44444444444444,24.0,13,4,0.25,0.013157894736842105
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",96.0,200,48,144,8,46,3,2,141,0.9583333333333334,0.041666666666666664,0.020833333333333332,0.9387755102040817,1.0,27,48.0,44.44444444444444,24.0,14,5,0.375,0.039473684210526314
fixed_limit,Fixed upper-limit screening,120.0,200,48,144,8,18,0,30,144,0.375,0.625,0.0,1.0,0.3829787234042553,0,,,,18,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),120.0,200,48,144,8,45,0,3,144,0.9375,0.0625,0.0,1.0,0.9574468085106383,18,24.0,30.666666666666668,24.0,23,4,0.375,0.019736842105263157
isolation_forest,Isolation Forest,120.0,200,48,144,8,20,0,28,144,0.4166666666666667,0.5833333333333334,0.0,1.0,0.425531914893617,2,24.0,24.0,24.0,17,1,0.375,0.019736842105263157
combined,Combined robust + Isolation Forest (existing detector),120.0,200,48,144,8,45,0,3,144,0.9375,0.0625,0.0,1.0,0.9574468085106383,18,24.0,30.666666666666668,24.0,23,4,0.375,0.019736842105263157
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",120.0,200,48,144,8,47,2,1,142,0.9791666666666666,0.020833333333333332,0.013888888888888888,0.9591836734693877,1.0,18,24.0,30.666666666666668,24.0,24,5,0.625,0.046052631578947366
fixed_limit,Fixed upper-limit screening,144.0,200,48,144,8,30,0,18,144,0.625,0.375,0.0,1.0,0.625,0,,,,30,0,0.0,0.0
robust_mad,Median/MAD robust screening (repository rule),144.0,200,48,144,8,45,0,3,144,0.9375,0.0625,0.0,1.0,0.9375,5,24.0,24.0,24.0,35,5,0.375,0.019736842105263157
isolation_forest,Isolation Forest,144.0,200,48,144,8,23,0,25,144,0.4791666666666667,0.5208333333333334,0.0,1.0,0.4791666666666667,0,,,,20,3,0.5,0.02631578947368421
combined,Combined robust + Isolation Forest (existing detector),144.0,200,48,144,8,45,0,3,144,0.9375,0.0625,0.0,1.0,0.9375,5,24.0,24.0,24.0,35,5,0.5,0.02631578947368421
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",144.0,200,48,144,8,48,2,0,142,1.0,0.0,0.013888888888888888,0.96,1.0,5,24.0,24.0,24.0,37,6,0.625,0.046052631578947366
