component_id,batch_id,profile_id,feature,uploaded_value,parsed_value,training_min,training_max,verdict,recommendation,predicted_final_value
MLCC_C000484,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0127289200531
MLCC_C000597,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.006101729124784469
MLCC_C000729,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0118508564856
MLCC_C000747,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0119472786131
MLCC_C000764,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0107600142602
MLCC_C000828,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0116117244361
MLCC_C000873,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0160064188052
MLCC_C000957,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0106778822643
MLCC_C000982,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00900038230013
MLCC_C000989,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0115540180432
MLCC_C001052,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0127785881509
MLCC_C001071,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.018835660815238953
MLCC_C001074,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00727338020739
MLCC_C001095,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0110910313255
MLCC_C001131,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0100363243317
MLCC_C001249,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.027795379757881163
MLCC_C001324,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0111696092434
MLCC_C001417,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00731846762936
MLCC_C001441,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0102540685418
MLCC_C001472,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00966094994773
MLCC_C001583,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0108540824876
MLCC_C001684,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0160344938732
MLCC_C001740,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0116943038412
MLCC_C001826,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00984164116922
MLCC_C001843,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00698334715699
MLCC_C001859,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0106627988201
MLCC_C002005,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0139785486692
MLCC_C002142,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0130202234962
MLCC_C002259,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0106398097144
MLCC_C002316,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00785672919715
MLCC_C002453,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0063652429217
MLCC_C002517,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0158502878319
MLCC_C002551,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00781222437739
MLCC_C002639,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.020369975566864013
MLCC_C002643,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0105851521095
MLCC_C002749,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00811817816453
MLCC_C002922,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0116409627416
MLCC_C002945,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0109165816999
MLCC_C003230,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00776084575944
MLCC_C003296,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0137113665777
MLCC_C003334,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0116528523538
MLCC_C003335,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0116632888308
MLCC_C003411,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0084074263127
MLCC_C003461,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00713780914686
MLCC_C003514,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0157648387811
MLCC_C003536,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0121096074244
MLCC_C003574,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0112707003896
MLCC_C003577,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.0121922894406
MLCC_C003618,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.01661122174
MLCC_C003637,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.014398156736
