Component ID,Batch,24h Leakage (µA),Allowed Limit (µA),Change from 0h to 24h (µA),Status,Why?,Suggested Action
MLCC_C000042,MLCC_B058,0.1288,1.3,-0.012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000043,MLCC_B057,0.0908,1.3,-0.0069,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000044,MLCC_B058,0.1021,1.3,-0.0117,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000046,MLCC_B043,0.0226,0.25,-0.0073,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000047,MLCC_B003,0.0421,0.7,-0.0032,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000050,MLCC_B057,0.1551,1.3,-0.0353,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000051,MLCC_B022,0.0809,0.7,-0.0076,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000053,MLCC_B021,0.0141,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000055,MLCC_B047,0.2056,1.3,-0.0372,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000056,MLCC_B039,0.0089,0.12,0.0003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000057,MLCC_B047,0.2123,1.3,-0.0335,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000061,MLCC_B049,0.0248,0.25,0.0003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000063,MLCC_B050,0.0341,0.25,0.0088,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000064,MLCC_B024,0.0422,0.25,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000065,MLCC_B014,0.0145,0.12,-0.0024,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000066,MLCC_B011,0.0116,0.12,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000067,MLCC_B036,0.1354,1.3,-0.0162,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000069,MLCC_B044,0.171,0.12,0.1469,ABOVE LIMIT,"24h leakage is 0.1710 µA, above the allowed limit of 0.1200 µA.",CHECK / RETEST
MLCC_C000070,MLCC_B013,0.0672,0.7,-0.0047,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000071,MLCC_B014,0.0061,0.12,-0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000072,MLCC_B037,0.0425,0.25,0.0081,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000074,MLCC_B046,0.0199,0.12,-0.0016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000075,MLCC_B037,0.0211,0.25,-0.0027,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000076,MLCC_B007,0.0261,0.25,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000077,MLCC_B049,0.3646,0.25,0.2916,ABOVE LIMIT,"24h leakage is 0.3646 µA, above the allowed limit of 0.2500 µA.",CHECK / RETEST
MLCC_C000080,MLCC_B008,0.094,0.7,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000086,MLCC_B053,0.0858,0.7,-0.0065,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000087,MLCC_B046,0.0266,0.12,-0.0033,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000089,MLCC_B025,0.1344,1.3,-0.0076,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000092,MLCC_B005,0.0526,0.7,0.005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000093,MLCC_B028,0.1273,1.3,-0.0126,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000094,MLCC_B007,0.0214,0.25,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000096,MLCC_B021,0.0179,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000098,MLCC_B009,0.0137,0.12,-0.0004,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000100,MLCC_B053,0.0458,0.7,-0.008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000101,MLCC_B012,0.1641,1.3,-0.0218,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000104,MLCC_B051,0.0839,0.7,-0.0127,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000108,MLCC_B013,0.092,0.7,-0.0112,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000111,MLCC_B021,0.012,0.12,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000112,MLCC_B013,0.0533,0.7,-0.0028,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000115,MLCC_B011,0.0298,0.12,0.0062,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C000119,MLCC_B057,0.0981,1.3,-0.0114,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000123,MLCC_B011,0.0161,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000124,MLCC_B047,0.1489,1.3,-0.0111,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000126,MLCC_B044,0.0155,0.12,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000127,MLCC_B050,0.0336,0.25,-0.003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000129,MLCC_B016,0.1179,1.3,-0.0113,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000130,MLCC_B016,0.1674,1.3,-0.0508,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000131,MLCC_B012,0.1709,1.3,-0.0159,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000132,MLCC_B021,0.0142,0.12,0.0,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000137,MLCC_B036,0.1223,1.3,-0.0118,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000139,MLCC_B042,0.1978,1.3,-0.058,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000140,MLCC_B057,0.197,1.3,-0.0229,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000141,MLCC_B028,0.1564,1.3,-0.0098,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000143,MLCC_B013,0.0773,0.7,-0.0062,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000144,MLCC_B011,0.0172,0.12,-0.0031,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000145,MLCC_B009,0.0185,0.12,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000146,MLCC_B037,0.021,0.25,-0.0026,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000148,MLCC_B037,0.0275,0.25,-0.0026,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000149,MLCC_B012,0.1752,1.3,-0.0103,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000151,MLCC_B022,0.0785,0.7,-0.0139,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000152,MLCC_B057,0.1818,1.3,-0.0337,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000153,MLCC_B005,0.0881,0.7,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000154,MLCC_B025,0.1541,1.3,0.0501,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000156,MLCC_B043,0.0248,0.25,-0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000158,MLCC_B036,0.1491,1.3,-0.0223,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000159,MLCC_B022,0.0426,0.7,-0.0069,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000160,MLCC_B022,0.1012,0.7,-0.0206,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000163,MLCC_B012,0.2658,1.3,0.0494,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000166,MLCC_B025,0.1111,1.3,-0.0256,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000167,MLCC_B010,0.1045,0.7,-0.0135,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000168,MLCC_B043,0.0386,0.25,0.0053,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000169,MLCC_B045,0.0334,0.25,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000170,MLCC_B050,0.0775,0.25,0.0075,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C000173,MLCC_B051,0.0904,0.7,-0.0154,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000174,MLCC_B027,0.0228,0.25,-0.0026,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000175,MLCC_B024,0.0321,0.25,-0.0076,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000176,MLCC_B043,0.0585,0.25,0.0043,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000179,MLCC_B024,0.0475,0.25,-0.0046,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000180,MLCC_B027,0.0295,0.25,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000182,MLCC_B045,0.0191,0.25,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000186,MLCC_B058,0.1222,1.3,-0.0267,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000190,MLCC_B033,0.0308,0.25,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000193,MLCC_B049,0.3279,0.25,0.2984,ABOVE LIMIT,"24h leakage is 0.3279 µA, above the allowed limit of 0.2500 µA.",CHECK / RETEST
MLCC_C000194,MLCC_B015,0.019,0.12,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000195,MLCC_B053,0.1029,0.7,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000196,MLCC_B036,0.1242,1.3,-0.011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000198,MLCC_B015,0.0135,0.12,-0.0026,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000202,MLCC_B043,0.012,0.25,-0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000206,MLCC_B047,0.1111,1.3,-0.0221,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000207,MLCC_B013,0.1106,0.7,0.0037,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000208,MLCC_B049,0.0588,0.25,-0.0124,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000210,MLCC_B014,0.0088,0.12,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000211,MLCC_B039,0.0116,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000213,MLCC_B015,0.0134,0.12,-0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000215,MLCC_B049,0.0392,0.25,-0.0034,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000217,MLCC_B010,0.0471,0.7,-0.0047,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000218,MLCC_B009,0.0118,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000219,MLCC_B016,0.1496,1.3,-0.0171,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000220,MLCC_B044,0.0165,0.12,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000222,MLCC_B015,0.0096,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000223,MLCC_B057,0.1242,1.3,0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000224,MLCC_B028,0.1732,1.3,-0.01,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000226,MLCC_B041,0.0207,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000227,MLCC_B047,0.1739,1.3,-0.0174,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000228,MLCC_B011,0.1313,0.12,0.1204,ABOVE LIMIT,"24h leakage is 0.1313 µA, above the allowed limit of 0.1200 µA.",CHECK / RETEST
MLCC_C000234,MLCC_B047,0.1483,1.3,-0.0035,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000236,MLCC_B010,0.0712,0.7,-0.0036,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000237,MLCC_B009,0.0205,0.12,-0.0044,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000238,MLCC_B053,0.0712,0.7,-0.0033,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000239,MLCC_B037,0.0234,0.25,-0.0077,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000242,MLCC_B016,0.1431,1.3,0.0055,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000245,MLCC_B022,0.0667,0.7,-0.0063,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000249,MLCC_B054,0.0616,0.7,0.0052,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000251,MLCC_B039,0.0132,0.12,-0.005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000252,MLCC_B050,0.0243,0.25,-0.005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000253,MLCC_B042,0.098,1.3,-0.0215,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000254,MLCC_B022,0.0771,0.7,-0.0065,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000255,MLCC_B054,0.1104,0.7,-0.016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000256,MLCC_B046,0.0161,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000259,MLCC_B042,0.1425,1.3,-0.006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000261,MLCC_B007,0.0342,0.25,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000263,MLCC_B022,0.0875,0.7,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000265,MLCC_B008,0.0626,0.7,-0.0144,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000266,MLCC_B014,0.0075,0.12,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000268,MLCC_B024,0.0385,0.25,-0.0036,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000269,MLCC_B037,0.0303,0.25,-0.0003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000270,MLCC_B033,0.0259,0.25,0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000271,MLCC_B036,0.1235,1.3,-0.016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000274,MLCC_B015,0.0183,0.12,-0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000275,MLCC_B021,0.0142,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000276,MLCC_B015,0.0072,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000277,MLCC_B016,0.1385,1.3,-0.0224,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000282,MLCC_B044,0.017,0.12,0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000288,MLCC_B028,0.1424,1.3,-0.0044,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000289,MLCC_B033,0.0411,0.25,-0.0076,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000292,MLCC_B057,0.0668,1.3,-0.0269,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000294,MLCC_B033,0.0166,0.25,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000296,MLCC_B039,0.021,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000298,MLCC_B009,0.0157,0.12,-0.0004,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000299,MLCC_B058,0.144,1.3,-0.0031,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000300,MLCC_B053,0.0687,0.7,-0.0105,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000303,MLCC_B012,0.1485,1.3,-0.0178,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000304,MLCC_B033,0.0333,0.25,0.0131,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000306,MLCC_B037,0.0463,0.25,0.004,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000307,MLCC_B044,0.0093,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000308,MLCC_B028,0.1029,1.3,-0.0174,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000309,MLCC_B042,0.0752,1.3,0.0048,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000310,MLCC_B041,0.0185,0.12,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000314,MLCC_B047,0.2412,1.3,-0.0044,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000315,MLCC_B057,0.124,1.3,-0.0247,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000316,MLCC_B050,0.0367,0.25,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C000317,MLCC_B058,0.2025,1.3,-0.0441,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
