config,stratum,components,mae_normalized,mean_signed_error,crossing_recall,crossing_fp
xgb_huber_resid_leak,tester_fault_onset_72,77,0.9933891089153905,-0.9933891089153905,0.02127659574468085,0
xgb_sq_log1p_leak,healthy,5624,0.08473570006446025,0.08452498141740081,,0
xgb_sq_log1p_leak,defect_onset_le24,1029,0.4660873825374686,-0.34194243744102887,0.2813688212927757,44
xgb_sq_log1p_leak,defect_onset_gt24,357,0.8416002817852811,-0.8300909030572556,0.0,0
xgb_sq_log1p_leak,tester_fault_onset_0_12,113,0.2667705585060421,-0.10620894344974097,0.8585858585858586,3
xgb_sq_log1p_leak,tester_fault_onset_72,77,0.9388614519792292,-0.9388614519792292,0.0,0
xgb_sq_log1p_resid_leak,healthy,5624,0.08417814892819099,0.08394894733550293,,0
xgb_sq_log1p_resid_leak,defect_onset_le24,1029,0.4634720796224828,-0.33997011499563884,0.29277566539923955,43
xgb_sq_log1p_resid_leak,defect_onset_gt24,357,0.8415412743715885,-0.8305009883778565,0.0,0
xgb_sq_log1p_resid_leak,tester_fault_onset_0_12,113,0.27565407879560627,-0.0738190218237328,0.8484848484848485,4
xgb_sq_log1p_resid_leak,tester_fault_onset_72,77,0.9369670122905014,-0.9369670122905014,0.02127659574468085,0
xgb_abs_resid_aux,healthy,5624,0.016517469211454017,0.014633782889145413,,0
xgb_abs_resid_aux,defect_onset_le24,1029,0.49617362379667684,-0.3883395860620726,0.3231939163498099,36
xgb_abs_resid_aux,defect_onset_gt24,357,0.9040829605166598,-0.9029237862510561,0.0,0
xgb_abs_resid_aux,tester_fault_onset_0_12,113,0.22127996079295825,-0.10298802713189022,0.9090909090909091,3
xgb_abs_resid_aux,tester_fault_onset_72,77,0.9945486058110691,-0.9945486058110691,0.02127659574468085,0
xgb_abs_resid_peer,healthy,5624,0.01641023620767903,0.014537706107650894,,0
xgb_abs_resid_peer,defect_onset_le24,1029,0.4960196387910914,-0.3863122047274631,0.33079847908745247,39
xgb_abs_resid_peer,defect_onset_gt24,357,0.9043409079857848,-0.903118222425036,0.0,0
xgb_abs_resid_peer,tester_fault_onset_0_12,113,0.22919772917172176,-0.11876607392553251,0.8787878787878788,1
xgb_abs_resid_peer,tester_fault_onset_72,77,0.9977572345820491,-0.9977572345820491,0.02127659574468085,0
